ISSUER_NAME,ISSUER_TICKER,ISSUER_ISIN,ISSUER_CNTRY_DOMICILE,AS_OF_DATE,IVA_INDUSTRY,INDUSTRY_ADJUSTED_SCORE,WEIGHTED_AVERAGE_SCORE,ENVIRONMENTAL_PILLAR_SCORE,SOCIAL_PILLAR_SCORE,GOVERNANCE_PILLAR_SCORE,CLIMATE_CHANGE_THEME_SCORE,NATURAL_RES_USE_THEME_SCORE,WASTE_MGMT_THEME_SCORE,HUMAN_CAPITAL_THEME_SCORE,PRODUCT_SAFETY_THEME_SCORE,CORPORATE_GOV_THEME_SCORE,BUSINESS_ETHICS_THEME_SCORE,CARBON_EMISSIONS_SCORE,CARBON_EMISSIONS_EXP_SCORE,ENERGY_EFFICIENCY_EXP_SCORE,PROD_CARB_FTPRNT_EXP_SCORE,WATER_STRESS_SCORE,WATER_STRESS_EXP_SCORE,WATER_STRESS_MGMT_SCORE,BIODIV_LAND_USE_EXP_SCORE,TOXIC_EMISS_WSTE_EXP_SCORE,OPPS_CLN_TECH_EXP_SCORE,LABOR_MGMT_SCORE,LABOR_MGMT_WEIGHT,LABOR_MGMT_EXP_SCORE,LABOR_MGMT_MGMT_SCORE,HLTH_SAFETY_WEIGHT,HLTH_SAFETY_EXP_SCORE,HUMAN_CAPITAL_DEV_EXP_SCORE,HUMAN_CAPITAL_DEV_MGMT_SCORE,PROD_SFTY_QUALITY_EXP_SCORE,CHEM_SAFETY_EXP_SCORE,PRIVACY_DATA_SEC_SCORE,PRIVACY_DATA_SEC_EXP_SCORE,PRIVACY_DATA_SEC_MGMT_SCORE,CORP_GOVERNANCE_SCORE,CORRUPTION_INST_SCORE,CORRUPTION_INST_EXP_SCORE,CORRUPTION_INST_MGMT_SCORE,BUS_ETHICS_FRAUD_SCORE,BUS_ETHICS_FRAUD_MGMT_SCORE,ANTICOMP_PRACT_SCORE,ANTICOMP_PRACT_MGMT_SCORE,ACCOUNTING_PCTL_GLOBAL,ACCOUNTING_PCTL_HOME,BOARD_PCTL_GLOBAL,BOARD_PCTL_HOME,CORP_GOVERNANCE_QUARTILE,GOVERNANCE_PCTL_GLOBAL,GOVERNANCE_PCTL_HOME,OWNERSHIP_PCTL_GLOBAL,OWNERSHIP_PCTL_HOME,PAY_PCTL_GLOBAL,PAY_PCTL_HOME
BMW AUSTRALIA FINANCE LIMITED,,AU3CB0227403,AU,20180101,Automobiles,6.2,4.9,5.6,5.6,3.3,5.3,8.10,8.50,6.80,4.50,3.3,3.30,10,2,1.1,7.2,8.10,3.5,4.60,2.5,5.8,4.8,6.80,17.00,9.90,9.70,0,3,6.10,6.70,8.7,7,10.00,4.10,7.50,3.3,7.20,6.70,6.90,3.30,3.30,3.70,3.70,26,18,4,5,4,10,6,50,23,69,50
MERCEDES-BENZ AUSTRALIA/PACIFIC PTY LTD,,XS1471712007,AU,20180101,Automobiles,4.5,4.7,6.6,3.7,4,8.6,9.10,4.00,4.30,3.20,3.7,4.20,10,2.2,1.3,5.1,9.10,3.5,5.60,2.8,6.3,5.4,4.30,16.00,10.00,7.30,0,3.3,5.90,6.30,9.1,7.9,10.00,3.60,7.50,3.7,6.20,6.80,6.00,3.30,3.30,3.70,3.70,20,10,15,14,3,16,10,36,19,69,50
BMW AUSTRALIA FINANCE LIMITED,,AU3CB0227403,AU,20180201,Automobiles,6.2,4.9,5.6,5.6,3.4,5.3,8.10,8.50,6.80,4.50,3.4,3.30,10,2,1.1,7.2,8.10,3.5,4.60,2.5,5.8,4.8,6.80,17.00,9.90,9.70,0,3,6.10,6.70,8.7,7,10.00,4.10,7.50,3.4,7.20,6.70,6.90,3.30,3.30,3.70,3.70,22,12,13,13,3,10,8,12,3,61,67
MERCEDES-BENZ AUSTRALIA/PACIFIC PTY LTD,,XS1471712007,AU,20180201,Automobiles,4.5,4.6,6.6,3.3,4.1,8.6,9.10,4.00,3.50,3.20,3.9,4.20,10,2.2,1.3,5.1,9.10,3.5,5.60,2.8,6.3,5.4,3.50,16.00,10.00,6.50,0,3.3,5.90,6.30,9.1,7.9,10.00,3.60,7.50,3.9,6.20,6.80,6.00,3.30,3.30,3.70,3.70,18,9,26,24,3,16,12,17,4,45,41
ARISTOCRAT LEISURE LIMITED,ALL,AU000000ALL7,AU,20180301,Casinos & Gaming,6.3,4.6,5.3,4.6,4.3,5.3,7.10,8.30,5.70,3.50,7.3,2.40,5.3,3.7,2.2,3.1,7.10,5.6,5.70,2.3,2.5,0,5.70,19.00,3.70,2.40,0,2.4,3.50,3.40,5.2,2.7,7.50,1.30,2.50,7.3,2.40,8.00,3.40,5.00,5.00,5.00,5.00,31,22,71,29,1,86,34,78,40,85,83
TABCORP HOLDINGS LIMITED,TAH,AU000000TAH8,AU,20180301,Casinos & Gaming,8.1,5.4,6.7,5.2,5.2,6.7,0.80,7.70,7.00,4.10,8.1,3.00,6.7,4,2.2,3.1,0.80,6.2,0.00,2.5,2.5,0,7.00,17.00,4.80,4.80,0,1.8,3.50,6.30,6.1,3.4,5.10,4.40,2.50,8.1,3.00,7.50,3.50,4.20,4.20,5.00,5.00,34,27,86,65,1,96,78,99,98,95,92
COMMONWEALTH BANK OF AUSTRALIA,CBA,AU000000CBA7,AU,20180301,Banks,7.7,5.7,8.6,4.8,6.5,8.6,6.80,10.00,4.60,4.70,7.4,5.40,10,1,0.4,0.7,6.80,2.3,2.10,0.8,1.2,0,4.50,0.00,7.60,5.10,0,0.4,7.00,4.60,5.9,0,5.10,8.10,6.20,7.4,10.00,4.70,8.80,3.70,3.70,5.00,5.00,6,3,97,90,1,87,39,78,40,56,42
TATTS GROUP LIMITED,TTSLF,AU000000TTS5,AU,20180301,Casinos & Gaming,8.1,5.4,6.7,5.2,5.2,6.7,0.80,7.70,7.00,4.10,8.1,3.00,6.7,4,2.2,3.1,0.80,6.2,0.00,2.5,2.5,0,7.00,17.00,4.80,4.80,0,1.8,3.50,6.30,6.1,3.4,5.10,4.40,2.50,8.1,3.00,7.50,3.50,4.20,4.20,5.00,5.00,34,27,86,65,1,96,78,99,98,95,92
MERCEDES-BENZ AUSTRALIA/PACIFIC PTY LTD,,XS1471712007,AU,20180301,Automobiles,4.5,4.6,6.6,3.3,4.1,8.6,9.10,4.00,3.50,3.20,3.9,4.20,10,2.2,1.3,5.1,9.10,3.5,5.60,2.8,6.3,5.4,3.50,16.00,10.00,6.50,0,3.3,5.90,6.30,9.1,7.9,10.00,3.60,7.50,3.9,6.20,6.80,6.00,3.30,3.30,3.70,3.70,18,10,25,26,3,16,12,17,4,42,37
MEDALLION TRUST SERIES 2005 1G,,AU300MEDD015,AU,20180301,Banks,7.7,5.7,8.6,4.8,6.5,8.6,6.80,10.00,4.60,4.70,7.4,5.40,10,1,0.4,0.7,6.80,2.3,2.10,0.8,1.2,0,4.50,0.00,7.60,5.10,0,0.4,7.00,4.60,5.9,0,5.10,8.10,6.20,7.4,10.00,4.70,8.80,3.70,3.70,5.00,5.00,6,3,97,90,1,87,39,78,40,56,42
The trustee for Medallion Trust Series 2005-2G,,AU300MEDE013,AU,20180301,Banks,7.7,5.7,8.6,4.8,6.5,8.6,6.80,10.00,4.60,4.70,7.4,5.40,10,1,0.4,0.7,6.80,2.3,2.10,0.8,1.2,0,4.50,0.00,7.60,5.10,0,0.4,7.00,4.60,5.9,0,5.10,8.10,6.20,7.4,10.00,4.70,8.80,3.70,3.70,5.00,5.00,6,3,97,90,1,87,39,78,40,56,42
MEDALLION TRUST SERIES 2006-1G,,AU300MEDF010,AU,20180301,Banks,7.7,5.7,8.6,4.8,6.5,8.6,6.80,10.00,4.60,4.70,7.4,5.40,10,1,0.4,0.7,6.80,2.3,2.10,0.8,1.2,0,4.50,0.00,7.60,5.10,0,0.4,7.00,4.60,5.9,0,5.10,8.10,6.20,7.4,10.00,4.70,8.80,3.70,3.70,5.00,5.00,6,3,97,90,1,87,39,78,40,56,42
COLONIAL HOLDING COMPANY LIMITED,,AU0000CNGHA2,AU,20180301,Banks,7.7,5.7,8.6,4.8,6.5,8.6,6.80,10.00,4.60,4.70,7.4,5.40,10,1,0.4,0.7,6.80,2.3,2.10,0.8,1.2,0,4.50,0.00,7.60,5.10,0,0.4,7.00,4.60,5.9,0,5.10,8.10,6.20,7.4,10.00,4.70,8.80,3.70,3.70,5.00,5.00,6,3,97,90,1,87,39,78,40,56,42
United Overseas Bank Limited,,AU3FN0039715,AU,20180301,Banks,5.5,4.8,0.6,3.7,7.6,0.6,6.00,8.20,4.00,4.20,8.6,6.50,8.7,0.8,0.4,0.6,6.50,2.6,2.10,0.6,1.3,0,9.80,0.00,3.50,6.30,0,0.7,6.40,3.40,4.7,0,2.40,8.40,3.80,8.6,7.40,5.30,5.70,5.00,5.00,5.00,5.00,67,65,99,99,1,99,100,99,99,80,88
Series 2010 - 1 SWAN Trust,,AU3FN0010435,AU,20180301,Banks,7.7,5.7,8.6,4.8,6.5,8.6,6.80,10.00,4.60,4.70,7.4,5.40,10,1,0.4,0.7,6.80,2.3,2.10,0.8,1.2,0,4.50,0.00,7.60,5.10,0,0.4,7.00,4.60,5.9,0,5.10,8.10,6.20,7.4,10.00,4.70,8.80,3.70,3.70,5.00,5.00,6,3,97,90,1,87,39,78,40,56,42
UOB AUSTRALIA LTD,,XS1745500774,AU,20180301,Banks,5.5,4.8,0.6,3.7,7.6,0.6,6.00,8.20,4.00,4.20,8.6,6.50,8.7,0.8,0.4,0.6,6.50,2.6,2.10,0.6,1.3,0,9.80,0.00,3.50,6.30,0,0.7,6.40,3.40,4.7,0,2.40,8.40,3.80,8.6,7.40,5.30,5.70,5.00,5.00,5.00,5.00,67,65,99,99,1,99,100,99,99,80,88
DBS Bank Ltd,,AU3FN0034971,AU,20180301,Banks,8.1,5.7,1.7,5.5,7,1.7,5.30,8.20,6.30,5.10,7.8,6.00,7.3,0.8,0.4,0.7,6.40,2.7,2.10,0.6,1,0,9.50,0.00,4.80,7.30,0,0.5,7.50,6.80,4.9,0,3.20,7.80,4.00,7.8,7.40,4.90,5.30,4.20,4.20,5.00,5.00,100,100,89,86,1,93,90,57,22,56,65
