ISSUER_NAME,ISSUER_TICKER,ISSUER_ISIN,ISSUER_CNTRY_DOMICILE,AS_OF_DATE,IVA_INDUSTRY,INDUSTRY_ADJUSTED_SCORE,WEIGHTED_AVERAGE_SCORE,ENVIRONMENTAL_PILLAR_SCORE,SOCIAL_PILLAR_SCORE,GOVERNANCE_PILLAR_SCORE,CLIMATE_CHANGE_THEME_SCORE,NATURAL_RES_USE_THEME_SCORE,WASTE_MGMT_THEME_SCORE,HUMAN_CAPITAL_THEME_SCORE,PRODUCT_SAFETY_THEME_SCORE,CORPORATE_GOV_THEME_SCORE,BUSINESS_ETHICS_THEME_SCORE,CARBON_EMISSIONS_SCORE,CARBON_EMISSIONS_EXP_SCORE,ENERGY_EFFICIENCY_EXP_SCORE,PROD_CARB_FTPRNT_EXP_SCORE,WATER_STRESS_SCORE,WATER_STRESS_EXP_SCORE,WATER_STRESS_MGMT_SCORE,BIODIV_LAND_USE_EXP_SCORE,TOXIC_EMISS_WSTE_EXP_SCORE,OPPS_CLN_TECH_EXP_SCORE,LABOR_MGMT_SCORE,LABOR_MGMT_WEIGHT,LABOR_MGMT_EXP_SCORE,LABOR_MGMT_MGMT_SCORE,HLTH_SAFETY_WEIGHT,HLTH_SAFETY_EXP_SCORE,HUMAN_CAPITAL_DEV_EXP_SCORE,HUMAN_CAPITAL_DEV_MGMT_SCORE,PROD_SFTY_QUALITY_EXP_SCORE,CHEM_SAFETY_EXP_SCORE,PRIVACY_DATA_SEC_SCORE,PRIVACY_DATA_SEC_EXP_SCORE,PRIVACY_DATA_SEC_MGMT_SCORE,CORP_GOVERNANCE_SCORE,CORRUPTION_INST_SCORE,CORRUPTION_INST_EXP_SCORE,CORRUPTION_INST_MGMT_SCORE,BUS_ETHICS_FRAUD_SCORE,BUS_ETHICS_FRAUD_MGMT_SCORE,ANTICOMP_PRACT_SCORE,ANTICOMP_PRACT_MGMT_SCORE,ACCOUNTING_PCTL_GLOBAL,ACCOUNTING_PCTL_HOME,BOARD_PCTL_GLOBAL,BOARD_PCTL_HOME,CORP_GOVERNANCE_QUARTILE,GOVERNANCE_PCTL_GLOBAL,GOVERNANCE_PCTL_HOME,OWNERSHIP_PCTL_GLOBAL,OWNERSHIP_PCTL_HOME,PAY_PCTL_GLOBAL,PAY_PCTL_HOME
BCE Inc.,BCE,CA05534B7604,CA,20180401,Integrated Telecommunication Services,4.5,4.5,10,3.1,5.3,10,9.70,10.00,2.90,3.40,7.1,4.20,10,2.4,1,1.9,9.70,2.5,5.20,1.2,1.8,0,2.90,17.00,10.00,5.90,0,1.5,7.20,6.30,6,0,3.40,9.00,5.40,7.1,4.40,6.20,3.60,3.70,3.70,3.70,3.70,70,89,64,42,1,81,70,51,39,95,93
SOCIETE FINANCIERE DAIMLER CANADA INC.,DAIG,XS1346622803,CA,20180101,Automobiles,4.5,4.7,6.6,3.7,4,8.6,9.10,4.00,4.30,3.20,3.7,4.20,10,2.2,1.3,5.1,9.10,3.5,5.60,2.8,6.3,5.4,4.30,16.00,10.00,7.30,0,3.3,5.90,6.30,9.1,7.9,10.00,3.60,7.50,3.7,6.20,6.80,6.00,3.30,3.30,3.70,3.70,20,10,15,14,3,16,10,36,19,69,50
BMW CANADA INC.,,CA05590HAT47,CA,20180101,Automobiles,6.2,4.9,5.6,5.6,3.3,5.3,8.10,8.50,6.80,4.50,3.3,3.30,10,2,1.1,7.2,8.10,3.5,4.60,2.5,5.8,4.8,6.80,17.00,9.90,9.70,0,3,6.10,6.70,8.7,7,10.00,4.10,7.50,3.3,7.20,6.70,6.90,3.30,3.30,3.70,3.70,26,18,4,5,4,10,6,50,23,69,50
SOCIETE FINANCIERE DAIMLER CANADA INC.,DAIG,XS1346622803,CA,20180201,Automobiles,4.5,4.6,6.6,3.3,4.1,8.6,9.10,4.00,3.50,3.20,3.9,4.20,10,2.2,1.3,5.1,9.10,3.5,5.60,2.8,6.3,5.4,3.50,16.00,10.00,6.50,0,3.3,5.90,6.30,9.1,7.9,10.00,3.60,7.50,3.9,6.20,6.80,6.00,3.30,3.30,3.70,3.70,18,9,26,24,3,16,12,17,4,45,41
BMW CANADA INC.,,CA05590HAT47,CA,20180201,Automobiles,6.2,4.9,5.6,5.6,3.4,5.3,8.10,8.50,6.80,4.50,3.4,3.30,10,2,1.1,7.2,8.10,3.5,4.60,2.5,5.8,4.8,6.80,17.00,9.90,9.70,0,3,6.10,6.70,8.7,7,10.00,4.10,7.50,3.4,7.20,6.70,6.90,3.30,3.30,3.70,3.70,22,12,13,13,3,10,8,12,3,61,67
CAE INC.,CAE,CA1247651088,CA,20180301,Aerospace & Defense,10,6.3,3.7,6.1,7.4,10,8.60,6.50,6.50,5.60,6.7,7.90,10,2.5,1.4,3.5,7.80,3.9,4.70,3.5,6.5,5.4,6.50,20.00,6.30,5.80,0,3.2,5.90,6.70,4.5,6.5,4.70,3.10,0.80,6.7,7.90,6.20,7.10,4.20,4.20,5.00,5.00,37,41,71,50,2,75,56,61,81,56,35
SOCIETE FINANCIERE DAIMLER CANADA INC.,DAIG,XS1346622803,CA,20180301,Automobiles,4.5,4.6,6.6,3.3,4.1,8.6,9.10,4.00,3.50,3.20,3.9,4.20,10,2.2,1.3,5.1,9.10,3.5,5.60,2.8,6.3,5.4,3.50,16.00,10.00,6.50,0,3.3,5.90,6.30,9.1,7.9,10.00,3.60,7.50,3.9,6.20,6.80,6.00,3.30,3.30,3.70,3.70,18,10,25,26,3,16,12,17,4,42,37
BMW CANADA INC.,,CA05590HAT47,CA,20180301,Automobiles,6.2,4.9,5.6,5.6,3.4,5.3,8.10,8.50,6.80,4.50,3.4,3.30,10,2,1.1,7.2,8.10,3.5,4.60,2.5,5.8,4.8,6.80,17.00,9.90,9.70,0,3,6.10,6.70,8.7,7,10.00,4.10,7.50,3.4,7.20,6.70,6.90,3.30,3.30,3.70,3.70,21,13,12,15,3,9,8,12,3,56,55
BCE Inc.,BCE,CA05534B7604,CA,20180501,Integrated Telecommunication Services,4.5,4.4,10,3.1,5.3,10,9.70,10.00,2.90,3.40,6.9,4.20,10,2.4,1,1.9,9.70,2.5,5.20,1.2,1.8,0,2.90,17.00,10.00,5.90,0,1.5,7.20,6.30,6.1,0,3.40,9.00,5.40,6.9,4.40,6.20,3.60,3.70,3.70,3.70,3.70,86,89,64,41,1,74,52,51,39,58,37
TELUS Corporation,T,CA87971M1032,CA,20180401,Integrated Telecommunication Services,8.2,5.8,10,5.1,6,10,9.20,10.00,4.00,6.20,7.1,5.30,10,2.5,1,1.9,9.30,2.5,4.80,1.1,1.7,0,4.00,17.00,10.00,7.00,0,1.5,7.20,6.30,5.3,0,6.20,9.00,8.20,7.1,5.90,6.20,5.10,5.00,5.00,3.70,3.70,73,94,82,68,1,82,72,25,14,95,93
