ISSUER_NAME,ISSUER_TICKER,ISSUER_ISIN,ISSUER_CNTRY_DOMICILE,AS_OF_DATE,IVA_INDUSTRY,INDUSTRY_ADJUSTED_SCORE,WEIGHTED_AVERAGE_SCORE,ENVIRONMENTAL_PILLAR_SCORE,SOCIAL_PILLAR_SCORE,GOVERNANCE_PILLAR_SCORE,CLIMATE_CHANGE_THEME_SCORE,NATURAL_RES_USE_THEME_SCORE,WASTE_MGMT_THEME_SCORE,HUMAN_CAPITAL_THEME_SCORE,PRODUCT_SAFETY_THEME_SCORE,CORPORATE_GOV_THEME_SCORE,BUSINESS_ETHICS_THEME_SCORE,CARBON_EMISSIONS_SCORE,CARBON_EMISSIONS_EXP_SCORE,ENERGY_EFFICIENCY_EXP_SCORE,PROD_CARB_FTPRNT_EXP_SCORE,WATER_STRESS_SCORE,WATER_STRESS_EXP_SCORE,WATER_STRESS_MGMT_SCORE,BIODIV_LAND_USE_EXP_SCORE,TOXIC_EMISS_WSTE_EXP_SCORE,OPPS_CLN_TECH_EXP_SCORE,LABOR_MGMT_SCORE,LABOR_MGMT_WEIGHT,LABOR_MGMT_EXP_SCORE,LABOR_MGMT_MGMT_SCORE,HLTH_SAFETY_WEIGHT,HLTH_SAFETY_EXP_SCORE,HUMAN_CAPITAL_DEV_EXP_SCORE,HUMAN_CAPITAL_DEV_MGMT_SCORE,PROD_SFTY_QUALITY_EXP_SCORE,CHEM_SAFETY_EXP_SCORE,PRIVACY_DATA_SEC_SCORE,PRIVACY_DATA_SEC_EXP_SCORE,PRIVACY_DATA_SEC_MGMT_SCORE,CORP_GOVERNANCE_SCORE,CORRUPTION_INST_SCORE,CORRUPTION_INST_EXP_SCORE,CORRUPTION_INST_MGMT_SCORE,BUS_ETHICS_FRAUD_SCORE,BUS_ETHICS_FRAUD_MGMT_SCORE,ANTICOMP_PRACT_SCORE,ANTICOMP_PRACT_MGMT_SCORE,ACCOUNTING_PCTL_GLOBAL,ACCOUNTING_PCTL_HOME,BOARD_PCTL_GLOBAL,BOARD_PCTL_HOME,CORP_GOVERNANCE_QUARTILE,GOVERNANCE_PCTL_GLOBAL,GOVERNANCE_PCTL_HOME,OWNERSHIP_PCTL_GLOBAL,OWNERSHIP_PCTL_HOME,PAY_PCTL_GLOBAL,PAY_PCTL_HOME
NATIONAL WESTMINSTER BANK PUBLIC LIMITED COMPANY,,GB0006227051,GB,20180301,Banks,4.2,4.7,6.9,4.5,4.6,6.9,9.00,10.00,6.00,3.80,8.2,0.60,10,0.8,0.4,0.6,9.00,2.2,4.20,0.6,1.3,0,7.70,0.00,8.10,8.80,0,0.4,8.10,7.10,5.6,0,3.40,9.90,6.30,8.2,9.00,5.10,7.10,2.50,2.50,5.00,5.00,86,90,86,65,1,97,76,99,97,56,23
THE ROYAL BANK OF SCOTLAND GROUP PUBLIC LIMITED COMPANY,RBS,GB00B7T77214,GB,20180301,Banks,4.2,4.7,6.9,4.5,4.6,6.9,9.00,10.00,6.00,3.80,8.2,0.60,10,0.8,0.4,0.6,9.00,2.2,4.20,0.6,1.3,0,7.70,0.00,8.10,8.80,0,0.4,8.10,7.10,5.6,0,3.40,9.90,6.30,8.2,9.00,5.10,7.10,2.50,2.50,5.00,5.00,86,90,86,65,1,97,76,99,97,56,23
THE ROYAL BANK OF SCOTLAND PUBLIC LIMITED COMPANY,RBS,NL0009360742,GB,20180301,Banks,4.2,4.7,6.9,4.5,4.6,6.9,9.00,10.00,6.00,3.80,8.2,0.60,10,0.8,0.4,0.6,9.00,2.2,4.20,0.6,1.3,0,7.70,0.00,8.10,8.80,0,0.4,8.10,7.10,5.6,0,3.40,9.90,6.30,8.2,9.00,5.10,7.10,2.50,2.50,5.00,5.00,86,90,86,65,1,97,76,99,97,56,23
Commonwealth Bank of Australia (London Branch),,XS1602281997,GB,20180301,Banks,7.7,5.7,8.6,4.8,6.5,8.6,6.80,10.00,4.60,4.70,7.4,5.40,10,1,0.4,0.7,6.80,2.3,2.10,0.8,1.2,0,4.50,0.00,7.60,5.10,0,0.4,7.00,4.60,5.9,0,5.10,8.10,6.20,7.4,10.00,4.70,8.80,3.70,3.70,5.00,5.00,6,3,97,90,1,87,39,78,40,56,42
RBS CAPITAL TRUST II,,US74927PAA75,GB,20180301,Banks,4.2,4.7,6.9,4.5,4.6,6.9,9.00,10.00,6.00,3.80,8.2,0.60,10,0.8,0.4,0.6,9.00,2.2,4.20,0.6,1.3,0,7.70,0.00,8.10,8.80,0,0.4,8.10,7.10,5.6,0,3.40,9.90,6.30,8.2,9.00,5.10,7.10,2.50,2.50,5.00,5.00,86,90,86,65,1,97,76,99,97,56,23
ASB Finance Ltd,,XS0985215184,GB,20180301,Banks,7.7,5.7,8.6,4.8,6.5,8.6,6.80,10.00,4.60,4.70,7.4,5.40,10,1,0.4,0.7,6.80,2.3,2.10,0.8,1.2,0,4.50,0.00,7.60,5.10,0,0.4,7.00,4.60,5.9,0,5.10,8.10,6.20,7.4,10.00,4.70,8.80,3.70,3.70,5.00,5.00,6,3,97,90,1,87,39,78,40,56,42
THE ROYAL BANK OF SCOTLAND N.V.,,XS0649955290,GB,20180301,Banks,4.2,4.7,6.9,4.5,4.6,6.9,9.00,10.00,6.00,3.80,8.2,0.60,10,0.8,0.4,0.6,9.00,2.2,4.20,0.6,1.3,0,7.70,0.00,8.10,8.80,0,0.4,8.10,7.10,5.6,0,3.40,9.90,6.30,8.2,9.00,5.10,7.10,2.50,2.50,5.00,5.00,86,90,86,65,1,97,76,99,97,56,23
BT GROUP PLC,BT.A,GB0030913577,GB,20180401,Integrated Telecommunication Services,8.2,5.8,10,6.3,4.8,10,9.60,10.00,5.60,5.80,5.9,4.10,10,2.4,1,1.9,10.00,2.6,5.70,1.2,1.7,0,5.60,17.00,9.60,8.20,0,1.2,7.20,7.50,6.4,0,5.80,9.70,8.50,5.9,4.30,7.20,4.50,4.20,4.20,3.70,3.70,3,3,55,23,2,52,7,99,97,38,5
ORANGE PARTICIPATIONS UK LIMITED,JAZTF,GB00B5TMSP21,GB,20180401,Integrated Telecommunication Services,10,6.6,10,6,6.9,10,6.30,8.30,5.70,5.10,6.2,7.50,10,2.2,1,2,6.90,2.4,2.30,1.3,1.8,0.3,5.70,18.00,10.00,8.70,0,1.6,7.20,7.90,6.4,0.4,5.10,9.40,7.50,6.2,7.50,7.40,7.90,4.20,4.20,4.20,4.20,28,37,59,59,2,61,51,47,31,81,78
NATIONAL WESTMINSTER BANK PUBLIC LIMITED COMPANY,,GB0006227051,GB,20180401,Banks,4.2,4.7,6.9,4.5,4.6,6.9,9.00,10.00,6.00,3.80,8.2,0.60,10,0.8,0.4,0.6,9.00,2.2,4.20,0.6,1.3,0,7.70,0.00,8.10,8.80,0,0.4,8.10,7.10,5.6,0,3.40,9.90,6.30,8.2,9.00,5.10,7.10,2.50,2.50,5.00,5.00,72,90,86,65,1,96,78,99,97,58,26
