ISSUER_NAME,ISSUER_TICKER,ISSUER_ISIN,ISSUER_CNTRY_DOMICILE,AS_OF_DATE,IVA_INDUSTRY,INDUSTRY_ADJUSTED_SCORE,WEIGHTED_AVERAGE_SCORE,ENVIRONMENTAL_PILLAR_SCORE,SOCIAL_PILLAR_SCORE,GOVERNANCE_PILLAR_SCORE,CLIMATE_CHANGE_THEME_SCORE,NATURAL_RES_USE_THEME_SCORE,WASTE_MGMT_THEME_SCORE,HUMAN_CAPITAL_THEME_SCORE,PRODUCT_SAFETY_THEME_SCORE,CORPORATE_GOV_THEME_SCORE,BUSINESS_ETHICS_THEME_SCORE,CARBON_EMISSIONS_SCORE,CARBON_EMISSIONS_EXP_SCORE,ENERGY_EFFICIENCY_EXP_SCORE,PROD_CARB_FTPRNT_EXP_SCORE,WATER_STRESS_SCORE,WATER_STRESS_EXP_SCORE,WATER_STRESS_MGMT_SCORE,BIODIV_LAND_USE_EXP_SCORE,TOXIC_EMISS_WSTE_EXP_SCORE,OPPS_CLN_TECH_EXP_SCORE,LABOR_MGMT_SCORE,LABOR_MGMT_WEIGHT,LABOR_MGMT_EXP_SCORE,LABOR_MGMT_MGMT_SCORE,HLTH_SAFETY_WEIGHT,HLTH_SAFETY_EXP_SCORE,HUMAN_CAPITAL_DEV_EXP_SCORE,HUMAN_CAPITAL_DEV_MGMT_SCORE,PROD_SFTY_QUALITY_EXP_SCORE,CHEM_SAFETY_EXP_SCORE,PRIVACY_DATA_SEC_SCORE,PRIVACY_DATA_SEC_EXP_SCORE,PRIVACY_DATA_SEC_MGMT_SCORE,CORP_GOVERNANCE_SCORE,CORRUPTION_INST_SCORE,CORRUPTION_INST_EXP_SCORE,CORRUPTION_INST_MGMT_SCORE,BUS_ETHICS_FRAUD_SCORE,BUS_ETHICS_FRAUD_MGMT_SCORE,ANTICOMP_PRACT_SCORE,ANTICOMP_PRACT_MGMT_SCORE,ACCOUNTING_PCTL_GLOBAL,ACCOUNTING_PCTL_HOME,BOARD_PCTL_GLOBAL,BOARD_PCTL_HOME,CORP_GOVERNANCE_QUARTILE,GOVERNANCE_PCTL_GLOBAL,GOVERNANCE_PCTL_HOME,OWNERSHIP_PCTL_GLOBAL,OWNERSHIP_PCTL_HOME,PAY_PCTL_GLOBAL,PAY_PCTL_HOME
Yahoo Japan Corporation,4689,JP3933800009,JP,20180101,Software & Services,4.1,3.9,8.9,4.2,2.9,8.9,5.50,7.30,1.60,6.20,3.2,2.20,8.9,2,2.3,1.8,5.50,2.5,1.00,1.7,2.9,2.1,3.00,0.00,4.00,0.00,0,0.4,8.30,2.90,4.7,0.8,6.20,7.50,6.70,3.2,2.20,5.10,0.30,5.00,5.00,5.00,5.00,6,9,12,30,4,9,17,100,100,35,91
"DeNA Co., Ltd.",2432,JP3548610009,JP,20180101,Software & Services,3,3.6,8,3.1,3.8,8,5.60,7.30,1.00,4.70,3.5,4.50,8,1.6,2,1.7,5.60,2.4,1.00,1.6,2.9,0,10.00,0.00,3.50,7.00,0,0.4,8.30,2.30,3.4,0.8,4.70,6.50,4.20,3.5,4.50,5.00,2.50,5.00,5.00,5.00,5.00,1,1,43,93,4,13,25,100,100,35,91
"Mercedes-Benz Japan Co., Ltd.",,XS1471727963,JP,20180101,Automobiles,4.5,4.7,6.6,3.7,4,8.6,9.10,4.00,4.30,3.20,3.7,4.20,10,2.2,1.3,5.1,9.10,3.5,5.60,2.8,6.3,5.4,4.30,16.00,10.00,7.30,0,3.3,5.90,6.30,9.1,7.9,10.00,3.60,7.50,3.7,6.20,6.80,6.00,3.30,3.30,3.70,3.70,20,10,15,14,3,16,10,36,19,69,50
Bayer Holding Ltd.,,XS0405675009,JP,20180101,Pharmaceuticals,5.7,4.4,3.3,4.5,4.6,9.2,7.80,3.30,4.20,4.10,5.9,3.50,9.2,4.1,3.9,5,7.80,4.7,5.50,4.2,7.7,1.9,4.70,0.00,8.70,6.40,0,3.2,8.90,6.10,7.8,7.5,8.30,2.90,4.20,5.9,3.50,8.20,4.70,4.60,4.60,3.70,3.70,61,53,36,34,1,64,39,58,32,80,68
Yahoo Japan Corporation,4689,JP3933800009,JP,20180201,Software & Services,4.1,4.3,8.9,4.2,3.8,8.9,5.50,7.30,1.60,6.20,4.6,2.20,8.9,2,2.3,1.8,5.50,2.5,1.00,1.7,2.9,2.1,3.00,0.00,4.00,0.00,0,0.4,8.30,2.90,4.7,0.8,6.20,7.50,6.70,4.6,2.20,5.10,0.30,5.00,5.00,5.00,5.00,4,6,37,92,3,28,76,99,100,18,79
"DeNA Co., Ltd.",2432,JP3548610009,JP,20180201,Software & Services,3,3.8,8,3.1,4.4,8,5.60,7.30,1.00,4.70,4.3,4.50,8,1.6,2,1.7,5.60,2.4,1.00,1.6,2.9,0,10.00,0.00,3.50,7.00,0,0.4,8.30,2.30,3.4,0.8,4.70,6.50,4.20,4.3,4.50,5.00,2.50,5.00,5.00,5.00,5.00,1,1,43,94,3,22,62,99,100,18,79
"Mercedes-Benz Japan Co., Ltd.",,XS1471727963,JP,20180201,Automobiles,4.5,4.6,6.6,3.3,4.1,8.6,9.10,4.00,3.50,3.20,3.9,4.20,10,2.2,1.3,5.1,9.10,3.5,5.60,2.8,6.3,5.4,3.50,16.00,10.00,6.50,0,3.3,5.90,6.30,9.1,7.9,10.00,3.60,7.50,3.9,6.20,6.80,6.00,3.30,3.30,3.70,3.70,18,9,26,24,3,16,12,17,4,45,41
Bayer Holding Ltd.,,XS0405675009,JP,20180201,Pharmaceuticals,5.7,4.4,3.3,4.5,4.7,9.2,7.80,3.30,4.20,4.10,6,3.50,9.2,4.1,3.9,5,7.80,4.7,5.50,4.2,7.7,1.9,4.70,0.00,8.70,6.40,0,3.2,8.90,6.10,7.8,7.5,8.30,2.90,4.20,6,3.50,8.20,4.70,4.60,4.60,3.70,3.70,38,28,34,30,2,59,42,66,42,84,94
Yahoo Japan Corporation,4689,JP3933800009,JP,20180301,Software & Services,4.1,4.3,9,4.2,3.8,9,5.50,7.30,1.60,6.20,4.6,2.20,9,2,2.3,1.8,5.50,2.5,1.00,1.7,2.9,2.1,3.00,0.00,4.00,0.00,0,0.4,8.30,2.90,4.7,0.8,6.20,7.50,6.70,4.6,2.20,5.10,0.30,5.00,5.00,5.00,5.00,4,6,37,92,3,27,75,99,100,18,82
"DeNA Co., Ltd.",2432,JP3548610009,JP,20180301,Software & Services,3,3.8,8,3.1,4.4,8,5.60,7.30,1.00,4.70,4.3,4.50,8,1.6,2,1.7,5.60,2.4,1.00,1.6,2.9,0,10.00,0.00,3.50,7.00,0,0.4,8.30,2.30,3.4,0.8,4.70,6.50,4.20,4.3,4.50,5.00,2.50,5.00,5.00,5.00,5.00,1,1,43,94,3,22,60,99,100,18,82
